gasto,riqueza,poblacion,porcentaje,densidad,ingreso,crecimiento
763,10.34328,3.674189,2.388763,4.382027,6.432635,1.8
588,9.62243,3.966511,2.406945,5.010635,6.306126,33.5
1407,9.870127,3.584444,2.61007,4.189655,6.182029,17
1253,9.440173,3.457893,2.00148,3.988984,6.132849,14.2
658,9.85231,3.804438,2.332144,4.820282,6.631434,10.4
1316,10.0233,3.432373,3.169686,3.850148,6.338592,-2.8
1295,9.741022,3.158418,2.674149,3.73767,6.269235,1.1
1673,10.47139,2.882004,2.95491,3.401197,6.3411,11.3
994,9.358433,3.48124,2.867899,4.382027,6.252957,9.5
889,9.664462,2.913256,2.867899,4.234107,6.248515,5.1
952,9.785633,3.084201,2.785011,4.26268,6.213325,13.8
749,9.251636,3.754589,2.933857,4.543295,5.923384,118.5
2212,10.80632,3.004031,2.949688,3.433987,6.413862,7.1
1309,10.15244,4.056412,2.442347,5.111988,6.892789,-3.4
1631,9.948002,3.236061,2.397895,3.73767,6.451525,3.1
1925,9.896095,2.61007,2.862201,3.332205,6.293436,9.4
1967,10.3068,3.90634,2.186051,4.644391,6.571814,13.7
805,10.34861,2.876386,3.50255,3.988984,6.461681,4.7
1239,9.811597,3.690129,3.198673,4.007333,6.306662,2.8
1435,9.755857,2.862201,2.933857,3.713572,6.132317,19.6
1295,9.798621,3.396185,2.60269,4.564348,6.483936,-0.3
1519,9.767593,3.094068,2.95491,3.465736,6.241003,3.7
1442,9.594364,3.243894,3.030134,3.806662,6.12022,1.1
1848,9.804589,2.864104,2.714695,3.367296,6.313166,6.1
1197,10.0068,4.300907,2.873565,4.574711,6.416909,-6.3
1309,9.50354,4.074992,2.459589,4.65396,6.317419,-1.1
1743,9.688008,2.639057,2.572612,3.178054,6.054453,13.6
1652,11.27525,3.871548,2.624669,3.78419,6.488566,-5.9
1918,10.04004,2.159484,2.517696,2.70805,6.22241,-4.5
1568,9.57739,3.200033,2.76001,3.713572,6.103933,-0.7
1232,10.16035,3.193216,2.174752,5.463832,6.414665,-6.4
1218,10.25672,4.235796,2.74084,4.477337,6.540545,-0.5
1449,10.14014,4.522694,1.916923,5.257495,6.796314,-3.9
1799,9.495835,3.283414,2.721295,3.78419,6.124519,-4.4
1085,9.306205,3.589059,2.587764,4.094345,6.161985,6.2
1239,9.963712,4.111147,1.609438,4.356709,6.431767,-6.8
1071,9.695922,3.360954,2.517696,3.688879,6.199393,6.1
1645,9.986518,3.074235,2.251292,4.248495,6.614431,-8.4
2541,10.24758,2.914161,2.60269,3.433987,6.229,-9.3
2317,10.31046,3.650225,2.797281,4.007333,6.446098,1.7
1232,9.705695,3.767768,2.61007,4.26268,6.28917,-1.3
462,9.772473,4.141016,2.785011,4.574711,6.335037,-2
1050,9.508124,4.074992,2.219203,4.682131,6.081237,14.2
1477,9.794337,3.886363,2.509599,4.094345,6.162915,-6.7
1554,9.925626,3.756149,2.541602,4.234107,6.454922,-2.9
1890,9.774745,2.627081,2.424803,3.135494,6.086709,13.4
1197,9.512842,3.397858,2.379546,3.663562,6.146265,15.7
1736,9.665972,2.877324,2.74084,3.401197,6.172569,0.4
1211,10.10891,3.378725,2.282382,3.713572,6.359411,5.3
966,9.445057,3.117212,2.595255,4.60517,6.298855,2.2
1743,9.484884,2.61007,3.152736,3.465736,6.233145,-7.1
1225,10.05823,4.839583,2.61007,5.135798,6.683721,-0.7
1274,9.399124,3.771611,2.674149,4.234107,6.286802,-3.4
1169,9.537368,3.753809,2.517696,3.951244,6.218024,4.3
1442,10.01268,4.815026,2.332144,5.805135,6.792582,-2.6
1288,9.351649,3.504055,3.095578,3.806662,6.211361,-1.7
777,10.00278,4.987708,2.970414,5.652489,6.518009,1.8
1197,9.534082,5.261653,2.370244,5.517453,6.360852,-0.1
1540,9.837951,2.766319,2.980619,3.135494,6.176547,-0.5
833,9.769836,3.947712,3.010621,4.406719,6.393912,-2.6
1064,9.774665,3.607308,2.778819,3.912023,6.210967,22.2
903,10.26201,3.469894,2.747271,4.060443,6.413541,9.7
1869,9.724163,2.687847,2.879198,3.178054,6.185768,8.4
1589,9.718452,3.261935,2.873565,3.465736,6.166726,19.4
2135,10.19011,1.683308,3.339322,2.397895,5.906857,24.4
945,9.783228,4.270397,2.624669,4.060443,6.414504,6.5
1442,9.73735,3.899275,2.517696,3.871201,6.246523,17.7
2695,9.863811,2.098018,3.095578,2.944439,6.496582,2.7
2681,10.1019,2.605156,3.072693,3.044522,6.055143,1.6
1008,9.911942,3.436672,2.442347,3.713572,6.312633,11.8
1029,9.71512,3.536117,2.667228,4.290459,6.333384,18.4
784,9.940239,4.222445,2.960105,4.574711,6.568655,1
728,9.852494,3.674189,2.867899,3.713572,6.298495,6.4
1582,9.751711,2.540289,3.246491,2.995732,5.628067,21.3
1365,9.678805,2.531048,3.072693,3.258097,5.979726,2.2
1491,9.735986,3.368445,2.939162,3.713572,6.266633,12.5
1225,9.656295,2.937397,3.00072,3.465736,6.130933,16.9
1169,9.875865,3.261297,2.4681,3.637586,6.347813,34
1750,9.827961,2.96699,3.020425,3.135494,6.194705,-0.6
1659,9.596507,2.891297,2.890372,3.258097,6.12248,14.9
1085,9.266569,3.883281,3.020425,3.367296,5.80565,33.6
1547,9.768876,2.877324,2.827314,3.332205,6.270162,32.5
1379,9.706718,4.476389,2.734368,4.465908,6.334776,19.5
2310,10.22393,3.261935,2.906901,2.484907,6.222507,3.4
973,10.24061,3.57094,2.66026,3.78419,6.434839,-3
1554,9.664284,4.178226,3.226844,4.276666,6.409759,3.3
2597,9.745131,2.396379,3.411148,2.302585,6.050766,-3.2
707,9.997633,3.062612,4.048301,3.091042,5.908987,29.6
2443,9.788385,3.437208,2.541602,2.833213,6.234587,5.5
1162,9.447434,3.752636,3.411148,3.367296,6.344462,6.3
1302,9.864612,4.675007,2.667228,4.394449,6.4734,16.9
1372,9.873523,5.669881,1.902108,5.934894,6.198397,5.2
1638,9.709187,4.141546,3.367296,3.496508,6.340063,9.5
1057,9.613349,4.404277,3.165475,4.875197,6.366845,14.4
1792,11.13952,3.249082,2.912351,3.583519,6.518227,13.4
2324,11.44944,3.208152,2.727853,3.401197,6.808996,10.8
1547,11.20069,3.399529,3.135494,3.89182,6.72967,7.2
1589,10.92116,4.303389,2.681022,4.418841,6.792417,2.8
1008,10.26455,4.391358,2.785011,4.644391,6.429636,5.9
987,10.63848,3.204101,2.980619,4.406719,6.418269,13.7
1680,11.0855,3.967458,2.341806,4.343805,6.456923,9.3
1673,10.69466,3.36211,2.753661,3.78419,6.463134,28.3
1925,10.64696,3.520461,2.791165,5.111988,6.533161,4.6
1148,10.44813,3.89284,2.587764,4.204693,6.55054,9.8
1659,10.45226,4.22805,1.504077,5.389072,6.618561,1.8
2485,11.3682,3.413346,2.646175,3.637586,6.693239,8.8
756,10.441,4.511409,3.258097,5.257495,6.63208,14
938,10.49845,4.116595,2.890372,4.564348,6.361952,16
1309,10.70787,3.689296,2.721295,4.204693,6.538704,4.8
1078,9.887881,3.955402,2.360854,5.598422,6.300925,8.4
1064,10.41069,3.588138,2.901422,4.454347,6.465806,-1.7
2534,11.25935,2.92047,2.302585,3.332205,6.632725,0.9
1225,9.52819,2.923162,2.791165,3.78419,6.149199,-2.5
1645,10.18558,4.752728,1.88707,4.955827,6.489684,-1.8
2044,9.927848,2.652068,2.70805,2.995732,6.164771,0.5
1617,9.392962,2.472328,2.74084,3.332205,6.034941,20.3
1148,9.709314,2.699122,2.884801,3.610918,6.138364,3.6
840,10.03447,3.92724,2.772589,4.127134,6.427262,2.3
1470,10.06382,2.330524,3.346389,3.218876,6.284612,3.5
1085,9.777805,2.754722,2.912351,3.663562,6.254748,20.3
1309,9.942766,3.261297,3.039749,4.060443,6.380636,-3.7
1253,9.631889,2.963553,3.015535,3.951244,6.348413,-2.2
1638,9.651758,2.849743,2.980619,3.555348,6.104152,16.5
1855,9.66544,2.22282,3.538057,2.890372,6.181523,12.7
2443,10.21608,2.889445,2.681022,3.178054,6.278379,7.7
1631,10.09491,3.600048,2.653242,3.828641,6.40871,5.8
1498,9.666461,2.731115,4.228293,3.583519,6.089156,19.4
3122,11.64884,2.824351,2.939162,2.197225,6.323326,6.3
3899,11.16981,2.211931,2.714695,2.484907,6.439467,-2.1
3941,11.73213,3.478158,2.564949,2.639057,6.25935,4.3
1008,10.1899,3.742025,3.206803,3.871201,6.335992,23.7
1022,10.7078,3.484823,2.701361,3.465736,6.39702,1.6
952,10.9532,3.416086,2.341806,3.73767,6.249935,0.8
1589,10.43093,3.543854,2.970414,3.258097,6.38989,3.6
2968,10.80224,2.924952,2.727853,2.944439,6.35252,-10.3
2128,10.70393,3.541442,2.580217,2.564949,6.274417,4.2
2842,10.71277,3.178748,2.397895,3.526361,6.353799,-3
2387,10.58373,3.179442,2.815409,3.135494,6.292167,12.8
1624,10.28987,3.143434,3.058707,3.258097,6.221729,17
1757,10.21981,3.245842,2.944439,3.258097,6.166726,10.1
2758,11.29831,3.692207,2.484907,3.218876,6.312899,-1.5
3192,10.91773,3.691792,2.379546,3.332205,6.329111,4.2
11669,10.55745,3.474551,0.5877867,3.688879,6.404261,-2.4
1498,11.26872,2.071073,2.76001,2.302585,6.350896,38.8
2457,10.96465,2.81241,2.791165,2.302585,6.145425,2.7
896,10.60568,3.78797,2.815409,3.332205,6.378226,4.7
1323,10.51873,4.417635,2.028148,4.744932,6.305499,-17.5
1120,10.46964,5.221166,2.587764,5.913503,6.55054,46.3
1869,11.07196,4.157059,2.879198,4.60517,6.87942,10.8
1225,10.43623,4.877866,2.509599,4.94876,6.511913,7.1
2128,10.74504,5.944679,2.116256,5.998937,6.803682,22.2
1274,10.39622,5.588933,1.987874,6.401917,6.594121,12.5
1134,10.38987,5.87315,2.509599,6.356108,6.624238,2.2
1596,10.78968,5.412687,2.433613,5.826,6.888402,7.3
2324,11.12026,3.476099,2.493205,3.988984,6.70363,13.6
1631,11.16102,3.539993,2.61007,3.871201,6.496878,9.1
1988,11.53893,4.201703,2.557227,4.553877,6.849383,4.6
2030,10.86739,3.648491,2.197225,4.317488,6.520178,4
1330,10.7236,4.929305,2.341806,5.529429,6.741023,17
2366,10.57072,6.508819,1.960095,7.242798,6.786571,1.5
868,10.5817,4.744062,2.617396,5.31812,6.556058,13.2
1575,11.0281,4.401829,2.564949,4.94876,6.731951,6.9
1722,11.18046,4.074709,2.459589,4.26268,6.847772,5.3
2891,11.19478,4.138096,2.587764,4.60517,6.767022,34.6
1134,10.5668,5.874462,2.219203,6.703188,6.8381,-1.2
2240,11.56483,3.963983,2.370244,4.007333,7.255835,3.3
1050,9.687487,4.889973,2.4681,5.525453,6.329111,4.1
2492,10.21464,7.484518,3.005683,7.627544,6.860027,3.3
1617,10.33026,4.719837,2.639057,5.293305,6.806614,-4
1491,10.02333,4.814485,2.70805,5.332719,6.696574,-3.1
2135,10.00154,3.298303,2.833213,4.248495,6.373973,-16.8
2352,9.929453,7.148791,2.174752,8.081784,6.482512,-8.6
1540,10.42199,5.829926,2.525729,5.945421,6.793572,10.4
1750,10.10865,3.861782,2.572612,4.382027,6.508851,-7.3
1036,9.359458,4.640698,2.70805,4.859812,6.083027,19.5
1008,10.06976,4.22805,2.701361,4.127134,6.391123,4.9
1932,9.882463,4.819475,2.415914,5.231109,6.492434,1.2
1211,10.18063,5.146622,2.493205,5.700444,6.806288,-2.1
2863,9.722445,5.532269,1.84055,5.926926,6.384695,-2.7
1561,10.11034,5.688048,1.931521,6.429719,6.758639,4.7
2275,10.00812,6.516982,2.116256,6.981935,6.556545,2.5
1589,9.812019,4.093511,2.424803,4.615121,6.385191,3.7
1890,10.06715,5.851819,2.151762,6.385194,6.472643,18.5
910,9.868461,4.486387,2.965273,5.26269,6.497616,8
1113,10.17979,4.337073,2.833213,4.532599,6.433895,6.4
1323,9.973191,3.574684,1.931521,3.931826,6.381383,-5.6
1960,10.2677,5.880766,2.079442,6.359574,6.7973,3.2
1365,10.02698,3.784947,3.194583,3.970292,6.350896,-4.5
2905,10.04248,6.968882,2.60269,8.206856,6.582317,-10.3
1008,9.989445,3.889096,3.194583,4.406719,6.539271,2.6
2492,9.848582,6.66683,1.722767,7.697575,6.530163,-6.6
2135,10.23658,3.620333,4.089332,3.332205,6.264677,-5.5
2639,10.00869,3.50054,3.456317,3.258097,6.093922,6.9
2730,10.41198,3.093313,2.00148,2.772589,6.250408,3.7
4802,10.68706,2.379546,2.595255,3.044522,6.30532,-21.9
2513,10.12278,3.623896,3.273364,3.496508,6.304873,1
6629,11.7807,2.714695,2.140066,1.791759,6.438136,-1.2
2919,10.19554,2.894069,2.564949,2.564949,6.313876,14.6
7413,11.83307,2.529721,3.131137,1.609438,6.290624,-2.9
1736,9.452062,4.096287,2.208274,4.007333,6.165903,-1.8
18389,12.34724,2.153698,1.526056,0.6931472,6.530378,-20.1
2786,10.90917,4.543472,2.00148,3.610918,6.245384,31.1
10626,11.68059,1.551102,3.058707,0.6931472,6.088267,48.6
1505,10.42737,3.127491,3.044522,3.178054,6.375393,189
6034,11.7211,3.369592,2.128232,2.564949,6.273771,7.2
3171,10.99334,3.669951,2.424803,3.367296,6.374808,-4.8
2947,10.85386,2.733285,2.873565,2.772589,6.500418,9.8
2492,10.68144,3.36211,3.148453,3.713572,6.327449,-1.3
4585,10.76569,2.827314,3.202746,2.772589,6.237848,-2.9
1197,10.54376,3.586293,2.639057,2.944439,6.237656,14.8
1505,9.433364,3.557251,3.903991,3.89182,5.980841,6.1
3101,10.50903,3.064947,3.895894,2.079442,6.164874,19.2
1113,9.640667,2.944439,3.303217,3.465736,6.230255,-7.1
3913,10.17243,1.827234,3.054001,2.197225,5.928354,-21
1869,10.63269,3.210844,2.388763,2.944439,5.667112,-7
2016,9.601348,2.837127,3.321432,3.135494,6.185768,1.1
3360,10.07323,2.562382,3.514526,2.772589,6.298585,-18.1
1792,9.508851,2.995732,3.468856,3.610918,5.879832,-1.2
2926,9.708634,2.517696,4.053523,2.833213,6.111458,-4.5
9527,11.69277,0.8892621,3.535145,0.6931472,6.189996,-17.4
1232,9.530226,3.314186,3.981549,3.806662,6.207322,-7.1
4179,10.96427,2.846845,3.025291,1.791759,6.384034,9.7
1204,9.431851,4.719094,3.668677,4.219508,5.712491,72
861,9.222536,3.595027,3.397858,3.89182,6.065435,5.6
6748,12.6769,1.645448,2.312535,0.6931472,6.386595,0.3
4011,10.02171,2.87168,3.508556,2.079442,5.939255,-3.8
1071,9.481367,3.311759,3.303217,3.850148,6.053533,8.7
3367,10.90073,2.169054,2.727853,2.197225,6.577966,11.2
805,10.28395,3.934437,3.091042,4.60517,6.338679,12.8
3780,10.78986,3.127491,1.871802,3.295837,6.238709,13.6
1792,10.21002,3.254243,3.044522,3.688879,6.095248,-0.5
1176,10.01934,4.663125,2.580217,4.49981,6.390301,-4.5
882,10.09053,4.424048,3.828641,4.465908,6.343687,9.5
1624,11.04552,3.235405,2.261763,4.330733,6.354055,0
1533,9.897012,3.431834,3.015535,3.496508,6.05744,2.3
987,9.768235,4.037186,2.734368,4.867534,6.30934,3.6
3563,10.74449,2.265229,3.030134,2.079442,6.032475,-6.2
1316,9.522212,3.51254,3.459466,3.850148,6.249651,3.7
1582,9.867772,3.383825,3.38439,3.912023,6.352263,-5.1
917,9.801455,4.63035,2.014903,4.844187,6.357884,8.8
1561,9.925215,3.350489,2.714695,4.143135,6.576534,6.2
1379,9.701335,3.397858,3.254243,3.912023,6.363895,-3.6
1449,9.691173,3.674611,2.906901,4.290459,6.446253,4.6
1351,10.00056,3.90701,3.214868,4.143135,6.625213,1
1246,9.68892,3.342273,3.363842,3.89182,6.443606,-1.9
917,10.09062,3.982481,3.00072,4.394449,6.570167,2.7
1162,9.895884,3.224195,2.939162,4.189655,6.385191,5.1
1400,9.730924,3.653684,3.273364,4.174387,6.406448,-2
1134,9.812096,4.06073,2.995732,4.454347,6.345408,0.6
1267,9.834282,3.772761,3.222868,4.430817,6.533303,3.4
1967,11.16507,2.608844,2.501436,3.433987,6.40142,7.9
1134,10.88356,3.44415,2.533697,4.406719,6.456385,7.5
1463,10.56506,4.528289,2.995732,4.532599,6.279114,14.6
1183,10.56268,4.812591,2.631889,4.844187,6.43743,8
511,10.28146,4.455509,2.815409,5.003946,5.868537,49.9
2163,10.91686,3.660137,2.397895,3.850148,6.403693,1.8
1834,10.58689,3.974058,2.322388,4.406719,6.524644,10
2471,11.6105,1.188859,3.370738,2.197225,6.26533,26
5019,11.94495,3.040546,3.804438,2.639057,6.506219,15.7
3241,11.77656,2.788093,2.549445,2.944439,6.521765,29
2877,11.63735,2.636674,2.459589,2.302585,6.534585,2
1134,10.34897,4.047428,2.70805,4.418841,6.515401,10.5
2541,10.57119,2.585255,3.242592,3.713572,6.262905,16.2
5096,11.95698,3.33577,1.856298,3.610918,6.430031,1.1
23002,12.65491,1.599388,3.178054,0,6.413702,-4.5
9975,11.43293,1.041454,0.5306283,0.6931472,6.07978,7.7
3962,10.67046,1.811017,3.030134,2.197225,6.277367,15.1
7784,11.47273,3.215537,2.753661,1.791759,6.336946,5
14371,12.32881,1.757858,2.766319,1.791759,6.454382,7.2
6237,12.02948,2.108191,2.272126,1.098612,6.183749,8
8386,12.25711,2.739764,2.219203,0.6931472,6.492508,-0.5
21301,12.93923,0.5784843,1.856298,0,6.313255,3.9
7917,11.22621,2.487681,2.163323,1.386294,6.283149,12.6
1078,9.562735,3.281538,3.62966,3.828641,6.179596,3.3
1778,9.625578,2.886661,3.48124,3.610918,6.183041,-0.4
1834,10.02037,2.61496,4.077537,2.995732,6.291714,1.2
1400,9.970805,4.386807,2.174752,4.890349,6.380719,2.3
693,10.22743,3.709499,1.84055,4.394449,6.253146,-4
553,10.34202,3.696351,2.639057,4.418841,6.314497,-7.1
1295,9.947332,3.191162,3.540959,3.89182,6.177768,19.1
1407,9.785751,3.329224,3.538057,4.330733,6.288442,14
1036,10.5578,2.894069,2.99072,3.688879,6.231894,4.2
1904,9.630694,2.40243,3.363842,2.944439,6.169088,0.2
5775,11.03238,2.705826,4.027136,1.098612,6.072012,11.7
1645,10.33697,3.256814,3.104587,3.332205,6.419707,6.2
2296,9.693334,3.471966,4.135167,2.890372,6.006026,-0.6
2170,10.22424,2.520381,3.597312,3.135494,6.161159,-7.9
1750,10.13563,2.889445,3.044522,3.332205,5.883523,1.1
13440,12.34059,3.298303,1.94591,1.386294,6.605853,-3.8
952,9.952444,3.087247,3.353407,4.060443,6.29633,18.7
1141,9.869295,4.016683,2.753661,4.394449,6.366761,19.9
2093,10.93514,3.857919,3.793239,3.663562,6.421382,18.6
1883,9.551352,2.924952,3.561046,2.397895,6.096682,0.6
1260,10.05532,3.91169,3.295837,3.951244,6.363642,18.4
2653,10.41693,3.643708,3.310543,3.713572,5.898422,100.9
1057,9.622801,3.706638,3.867026,4.043051,6.3168,7.9
2674,10.54921,3.73767,3.772761,3.433987,6.309964,11.6
2058,10.03263,3.814043,4.18662,3.496508,6.151289,4.7
5894,10.98563,3.041343,2.933857,3.401197,6.487896,-4.7
1848,10.2251,3.404525,3.317816,3.637586,6.38246,9.1
392,8.698764,5.80398,2.549445,5.609472,5.709572,294.5
2954,9.763254,2.558518,4.169761,2.995732,6.114929,6.4
2793,11.04373,2.922265,3.288402,2.995732,6.45168,3.1
1988,10.52311,3.644579,3.751854,3.465736,6.26505,12
1491,10.02174,3.874667,3.538057,4.430817,6.36735,16.3
1491,9.852052,2.423327,3.380995,2.890372,6.029767,17.1
2471,9.658265,2.864104,3.456317,3.218876,6.236986,21.5
1253,9.707102,3.372455,3.540959,3.688879,6.214698,28.7
2100,10.08205,3.195266,3.198673,3.135494,6.247377,35.7
1169,10.27463,4.337291,3.380995,4.844187,6.369115,40.1
1393,9.473381,3.569063,3.295837,3.332205,6.444386,1.6
4221,10.33815,1.352393,4.123903,1.609438,6.278655,43.1
1953,10.10297,3.715197,3.109061,2.639057,6.099215,13.5
1211,9.807714,3.256172,2.734368,3.465736,6.320597,2.3
1757,10.3932,2.903251,3.063391,2.079442,6.134549,34.7
1386,10.33119,3.124565,3.33577,2.70805,6.17675,18.7
3199,9.964305,1.960095,3.397858,2.397895,6.008678,1.7
2051,10.07074,2.692372,3.356897,2.639057,5.9951,19.2
973,9.877446,2.912351,3.077312,3.526361,6.040321,16.6
1008,10.24547,3.010621,2.867899,3.526361,6.370122,0.5
1932,9.790072,3.083438,3.353407,2.944439,5.947097,12.9
2401,9.743982,3.099341,4.097672,2.890372,6.307555,-9.1
1533,9.552397,3.756538,2.867899,3.828641,6.26942,9.1
5173,10.86366,1.312827,3.277145,1.098612,6.120328,-25.5
2660,10.08526,1.695616,2.186051,2.079442,5.913103,5.9
1323,9.847176,2.278975,2.517696,2.944439,6.254653,7
2107,10.2248,3.3328,3.00072,2.70805,6.169293,26.8
1428,10.22429,2.513656,3.346389,1.94591,6.308537,-4.3
735,10.09493,4.010359,2.884801,4.465908,6.488194,3.4
868,10.21761,3.622562,3.589059,3.970292,6.510092,18
1855,10.00243,3.620333,3.356897,4.219508,6.523277,11.5
889,10.71417,3.508556,3.238678,3.871201,6.923016,3.3
1274,9.453381,4.037186,3.034953,4.465908,5.793032,49.1
1470,9.849359,3.453157,3.78646,4.043051,6.397673,27.5
959,10.21684,3.536117,3.173878,4.219508,6.495768,10.3
1106,10.20829,4.525947,3.589059,5.003946,6.500124,19.2
973,9.833231,3.25102,3.100092,3.465736,6.116011,6.4
896,10.73208,2.504164,4.146304,4.584967,6.39301,-23.1
1743,9.635556,3.280911,4.158883,3.78419,6.278287,4
3045,9.937435,2.618612,3.367296,3.044522,6.276262,19.5
2310,9.473058,2.726763,3.462606,3.555348,6.160745,15.8
2065,9.660632,3.284664,3.575151,4.060443,6.46923,8.2
1925,9.761884,3.713572,3.058707,3.828641,6.334863,12.3
1561,9.476015,3.136942,3.342862,3.713572,6.3121,21.4
1316,9.998047,4.086816,3.034953,4.290459,6.420983,9.4
1841,9.670445,3.630102,3.265759,3.367296,6.138681,9.2
917,10.72217,4.080922,3.152736,4.304065,6.981589,6.9
1463,10.29681,2.715798,3.242592,3.401197,6.272107,10.3
658,9.992492,3.792113,3.095578,4.110874,6.247757,6.3
1526,9.657638,3.353989,2.61007,4.007333,6.421621,7.2
1673,9.729884,2.775709,3.214868,3.178054,5.8812,19.6
532,9.979958,3.712352,3.443618,4.127134,6.358563,5.6
